,BNDAGG,BNDBND,BNDLQD,BNDBSV,BNDHYG,BNDTIP,BNDSHY,BNDJNK,BNDVCSH,BNDCSJ
3/17/2014,107.870003,81.18,116.220001,80.269997,93.93,112.57,84.480003,41.029999,80.029999,105.470001
3/18/2014,108,81.269997,116.580002,80.32,94.209999,112.790001,84.5,41.16,80.010002,105.540001
3/19/2014,107.519997,80.889999,115.739998,80.059998,93.730003,111.75,84.360001,41.02,79.82,105.330002
3/20/2014,107.440002,80.82,115.900002,80.050003,94.050003,111.400002,84.370003,41.16,79.830002,105.360001
3/21/2014,107.589996,81.050003,116.300003,80.019997,93.989998,111.82,84.379997,41.119999,79.870003,105.379997
3/24/2014,107.75,81.059998,116.519997,80.010002,94.019997,111.959999,84.339996,41.209999,79.800003,105.339996
3/25/2014,107.639999,81.040001,116.559998,79.989998,94.209999,111.93,84.349998,41.23,79.779999,105.400002
3/26/2014,107.980003,81.260002,117.010002,80.050003,94.230003,112.32,84.410004,41.200001,79.860001,105.410004
3/27/2014,108.059998,81.339996,117.040001,80.059998,94.089996,112.360001,84.400002,41.220001,79.919998,105.349998
3/28/2014,107.900002,81.190002,116.949997,80.019997,94.25,112.080002,84.400002,41.27,79.889999,105.360001
3/31/2014,107.910004,81.190002,116.940002,80.089996,94.389999,112.099998,84.449997,41.32,79.980003,105.480003
4/1/2014,107.540001,80.910004,116.309998,80.010002,94.120003,111.709999,84.379997,41.139999,79.800003,105.379997
4/2/2014,107.360001,80.75,116.150002,79.93,94.019997,111.459999,84.349998,41.139999,79.75,105.239998
4/3/2014,107.440002,80.82,116.370003,79.949997,94.059998,111.589996,84.370003,41.150002,79.760002,105.269997
4/4/2014,107.779999,81.059998,116.830002,80.029999,94.279999,112.099998,84.440002,41.220001,79.949997,105.360001
4/7/2014,107.940002,81.209999,117.110001,80.059998,94.080002,112.269997,84.449997,41.169998,80.019997,105.370003
4/8/2014,108.07,81.269997,117.419998,80.110001,94.300003,112.330002,84.459999,41.259998,80.089996,105.379997
4/9/2014,108.080002,81.25,117.519997,80.209999,94.449997,112.410004,84.5,41.299999,80.169998,105.480003
4/10/2014,108.330002,81.5,117.68,80.260002,94.18,112.800003,84.550003,41.200001,80.260002,105.470001
4/11/2014,108.43,81.550003,117.760002,80.269997,93.779999,113.089996,84.540001,41.049999,80.230003,105.480003
4/14/2014,108.470001,81.540001,117.839996,80.199997,94.080002,112.870003,84.529999,41.220001,80.199997,105.529999
4/15/2014,108.480003,81.580002,118.089996,80.199997,94.18,113.150002,84.529999,41.240002,80.169998,105.489998
4/16/2014,108.540001,81.529999,118.139999,80.18,94.230003,113.220001,84.5,41.290001,80.120003,105.480003
4/17/2014,108.190002,81.32,117.459999,80.089996,94.120003,113.080002,84.480003,41.220001,80.089996,105.400002
4/21/2014,108.18,81.339996,117.620003,80.089996,94.120003,113.080002,84.480003,41.240002,80.019997,105.449997
4/22/2014,108.160004,81.339996,117.68,80.080002,94.220001,113.080002,84.440002,41.27,80.080002,105.440002
4/23/2014,108.269997,81.470001,117.940002,80.089996,94.25,113.43,84.480003,41.279999,80.099998,105.43
4/24/2014,108.370003,81.489998,117.959999,80.099998,94.269997,113.5,84.459999,41.259998,80.120003,105.419998
4/25/2014,108.389999,81.519997,117.940002,80.150002,94.239998,113.550003,84.470001,41.27,80.129997,105.470001
4/28/2014,108.32,81.43,117.800003,80.139999,94.220001,113.209999,84.470001,41.330002,80.110001,105.459999
4/29/2014,108.370003,81.470001,117.82,80.139999,94.360001,113.139999,84.459999,41.32,80.129997,105.480003
4/30/2014,108.589996,81.650002,118.150002,80.199997,94.339996,113.580002,84.519997,41.349998,80.190002,105.519997
5/1/2014,108.550003,81.669998,118.300003,80.160004,93.82,113.730003,84.5,41.18,80.139999,105.459999
5/2/2014,108.68,81.760002,118.550003,80.160004,94.040001,114.029999,84.489998,41.220001,80.139999,105.470001
5/5/2014,108.639999,81.669998,118.25,80.150002,94,113.790001,84.5,41.16,80.150002,105.480003
5/6/2014,108.720001,81.75,118.449997,80.150002,94.019997,113.75,84.470001,41.240002,80.160004,105.470001
5/7/2014,108.720001,81.790001,118.470001,80.199997,94.160004,113.82,84.5,41.279999,80.209999,105.510002
5/8/2014,108.790001,81.830002,118.5,80.260002,94.139999,113.980003,84.519997,41.240002,80.260002,105.540001
5/9/2014,108.690002,81.730003,118.370003,80.239998,94.230003,113.910004,84.550003,41.290001,80.199997,105.559998
5/12/2014,108.599998,81.650002,118.07,80.220001,94.330002,113.599998,84.529999,41.360001,80.230003,105.529999
5/13/2014,108.779999,81.800003,118.510002,80.290001,94.480003,113.889999,84.559998,41.380001,80.290001,105.589996
5/14/2014,109.089996,82.010002,119.099998,80.360001,94.529999,114.540001,84.589996,41.400002,80.43,105.660004
5/15/2014,109.32,82.160004,119.309998,80.400002,94.440002,115.07,84.599998,41.369999,80.400002,105.68
5/16/2014,109.199997,82.160004,119.169998,80.370003,94.629997,114.949997,84.610001,41.43,80.459999,105.669998
5/19/2014,109.160004,82.129997,119.059998,80.400002,94.769997,114.610001,84.629997,41.439999,80.480003,105.68
5/20/2014,109.209999,82.169998,119.059998,80.449997,94.650002,114.830002,84.639999,41.419998,80.5,105.75
5/21/2014,109.169998,82.099998,118.839996,80.43,94.639999,114.760002,84.639999,41.43,80.489998,105.699997
5/22/2014,109.120003,82.050003,118.800003,80.410004,94.709999,114.940002,84.620003,41.389999,80.480003,105.709999
5/23/2014,109.230003,82.129997,118.93,80.400002,94.739998,115.209999,84.599998,41.439999,80.5,105.669998
5/27/2014,109.330002,82.209999,119.349998,80.43,94.830002,115.279999,84.620003,41.450001,80.489998,105.699997
5/28/2014,109.629997,82.480003,119.919998,80.5,94.860001,115.910004,84.639999,41.439999,80.57,105.730003
5/29/2014,109.57,82.410004,119.57,80.480003,94.949997,115.860001,84.629997,41.509998,80.559998,105.75
5/30/2014,109.669998,82.330002,119.589996,80.449997,95.050003,115.589996,84.650002,41.529999,80.489998,105.739998
6/2/2014,109.129997,81.949997,118.589996,80.300003,94.32,114.470001,84.57,41.310001,80.260002,105.550003
6/3/2014,108.839996,81.75,118.050003,80.239998,94.330002,113.800003,84.550003,41.290001,80.160004,105.529999
6/4/2014,108.800003,81.760002,117.989998,80.260002,94.330002,113.5,84.580002,41.32,80.169998,105.459999
