Date,Natural Gas Futures - Apr 16 (NGJ6),Crude Oil Futures - Apr 16 (CLJ6),Heating Oil Futures - Apr 16 (HOJ6),Silver Futures - Mar 16 (SIH6),Platinum Futures - Apr 16 (PLJ6),Palladium Futures - Jun 16 (PAM6),Gold Futures - Apr 16 (GCJ6),Copper Futures - May 16 (HGK6)
2/7/2013,3.285,95.83,3.2384,19.517,1427.7,735.5,1648.2,3.691
2/8/2013,3.272,95.72,3.2315,20.184,1435.65,738.2,1648.7,3.644
2/11/2013,3.279,97.03,3.2362,20.517,1491.05,741.1,1644.2,3.606
2/12/2013,3.23,97.51,3.2188,20.803,1503.2,745.8,1634.7,3.55
2/13/2013,3.306,97.01,3.2237,21.332,1508.3,743.15,1608.8,3.53
2/14/2013,3.163,97.31,3.2104,21.336,1494.9,732.6,1603.6,3.541
2/15/2013,3.153,95.86,3.2073,21.781,1493.85,718.65,1577.6,3.567
2/19/2013,3.272,96.66,3.1806,22.929,1512.25,712.5,1578.2,3.545
2/20/2013,3.279,94.46,3.1563,23.317,1528.75,732.6,1572.4,3.527
2/21/2013,3.246,92.84,3.0957,23.27,1527.1,738.05,1586.2,3.482
2/22/2013,3.291,93.13,3.1042,23.158,1528.6,757.05,1615.2,3.483
2/25/2013,3.414,93.11,3.0989,22.993,1512,780.65,1595.2,3.497
2/26/2013,3.427,92.63,3.0317,22.958,1520.9,780.1,1577.7,3.474
2/27/2013,3.434,92.76,2.9879,23.03,1508.5,773.6,1571.9,3.502
2/28/2013,3.486,92.05,2.9719,23.733,1541.45,769.25,1572.1,3.491
3/1/2013,3.456,90.68,2.9301,24.013,1540.9,768.8,1574.6,3.5
3/4/2013,3.529,90.12,2.9191,24.008,1548.8,776,1574.6,3.538
3/5/2013,3.529,90.82,2.973,24.613,1551.85,764.3,1574.8,3.51
3/6/2013,3.47,90.43,2.9756,24.389,1535.5,733.4,1576.6,3.523
3/7/2013,3.582,91.56,2.9795,24.09,1538.95,756.4,1577.8,3.508
3/8/2013,3.629,91.95,2.9749,23.463,1515.1,755.05,1591.5,3.417
3/11/2013,3.649,92.06,2.9691,23.348,1523.45,759.75,1588.3,3.396
3/12/2013,3.645,92.54,2.9484,24.223,1517.05,755.55,1590.6,3.436
3/13/2013,3.68,92.52,2.9242,24.382,1525,765.1,1592.5,3.423
3/14/2013,3.812,93.03,2.9295,23.369,1536.3,767.5,1604.6,3.454
3/15/2013,3.872,93.45,2.939,23.206,1499.15,773,1611.3,3.435
3/18/2013,3.882,93.74,2.9267,23.842,1485.15,781.9,1607.5,3.433
3/19/2013,3.969,92.16,2.8641,23.93,1495.5,770.4,1613.8,3.435
3/20/2013,3.96,92.96,2.8921,23.668,1497.4,754.3,1606.2,3.395
3/21/2013,3.935,92.45,2.8963,22.966,1486.8,726.2,1604.6,3.368
3/22/2013,3.927,93.71,2.8843,23.121,1476.2,728.4,1595.8,3.372
3/25/2013,3.865,94.81,2.8772,22.099,1474.6,728.65,1606.2,3.325
3/26/2013,3.976,96.34,2.8813,21.67,1445.2,731.85,1594.8,3.345
3/27/2013,4.068,96.58,2.9154,22.29,1453.75,720.3,1600,3.34
3/28/2013,4.024,97.23,2.9152,21.963,1456.2,732.2,1575.1,3.368
4/1/2013,4.015,97.07,3.0687,21.735,1438,707.95,1552.8,3.438
4/2/2013,3.969,97.19,3.0874,21.514,1424,665.85,1551.8,3.414
