,ETFBZQ,ETFRUSS,ETFBIS,ETFJJT,ETFBDD,ETFNUGT,ETFDWTI,ETFDTO,ETFCVOL,ETFDFVS,ETFUGAZ,ETFTZA,ETFEDZ,ETFFUE,ETFRXD,ETFSRTY,ETFSCO,ETFDIRT,ETFGRN,ETFURR,ETFBOIL,ETFSZO,ETFSDD,ETFEEV,ETFJNUG,ETFDPK,ETFMIDZ,ETFUVXY,ETFDAG,ETFTWM,ETFEWV,ETFCHIM,ETFAGF,ETFEFU,ETFGDX,ETFGREK,ETFTVIX,ETFDNO,ETFPSAU,ETFEQLT,ETFSMN,ETFHDGE
2014-03-17,98.040001,20.940001,15.560001,51.73,7.84,52.040003,31.34,34.93,3.01,39.189999,25.310001,15.19,46.779999,9.6,22.4,38.540001,30.950001,46.34,8.1,29.870001,47.380001,39.52,45.639999,22.57,34.289999,33.759998,16.4,69.100001,8.17,45,73,13.65,17.1,42.419998,26.799999,25.66,7.7,33.950001,23.030001,25.24,32.380001,12.83
2014-03-18,93.330002,17.950001,14.680001,52.68,7.84,49.760001,30.16,34.169998,2.87,38.950001,24.480001,14.57,44.91,10.85,21.76,36.860001,30.17,46.34,8.1,29.870001,46.41,38.290001,44.389999,21.969999,32.099999,33.07,15.89,63.750001,8.38,43.700001,73.099998,13.65,17.200001,41.900002,26.43,25.68,7.13,33.52,22.709999,25.370001,31.91,12.68
2014-03-19,92.989998,19.629999,14.99,52.52,7.67,44.19,29.85,33.939999,3.01,41.040001,24.750001,14.79,47.650002,11.06,21.719999,37.52,29.98,46.34,7.6,29.870001,46.880001,38.27,44.790001,22.879999,27.029999,34.299999,16.25,66.089997,8.54,44.259998,73.739998,13.65,17.5,42.959999,25.440001,25.030001,7.37,33.459999,21.719999,25.200001,32.360001,12.7
2014-03-20,88.559998,21.190001,15.24,54.970001,7.82,44.110001,30.299999,34.18,2.9,40.77,23.380001,14.74,47.080002,11.7,21.719999,37.419998,30.200001,46.34,7.76,29.870001,44.98,38.689999,45.099998,22.709999,27.649999,34.599998,16.07,65.440003,8.43,44.18,76.25,13.65,17.469999,43.23,25.469999,25.5,7.29,33.490002,22.01,25.4,32.110001,12.7
2014-03-21,87.660004,20.59,16.59,50.900002,7.82,44.479999,29.41,33.68,2.99,40.759998,22.450001,14.94,46.139999,12.1,22.299999,38,29.73,46.34,7.67,29.870001,43.889999,38.349998,44.41,22.379999,27.559999,34.689999,16.15,66.209999,8.21,44.57,76.300003,13.78,17.200001,43.32,25.52,24.17,7.41,33.310001,21.809999,25.309999,31.76,12.79
2014-03-24,85.230003,20.48,17.57,50.900002,7.76,38.450001,29.709999,33.759998,2.95,40.880001,22.340001,15.44,44.93,12,23.5,39.310001,29.809999,46.34,7.42,29.32,43.630001,38.080002,46.369999,21.950001,21.88,34.599998,16.5,66.580006,8.42,45.580002,74.949997,13.89,17.459999,43.18,24.33,24.700001,7.45,33.259998,20.99,25.17,32.25,12.87
2014-03-25,83.589996,18.75,17.52,51.959999,7.76,38.89,29.67,33.849998,2.93,40.880001,24.110001,15.47,43.27,11.51,23.18,39.25,29.879999,46.34,7.48,29.32,46.07,38.080002,46.369999,21.450001,23.259999,33.540001,16.42,64.800007,8.54,45.549999,75.300003,13.71,17.299999,42.259998,24.48,25.02,7.31,33.41,21.139999,25.17,31.879999,12.83
2014-03-26,84.150002,18.780001,18.14,51.959999,7.25,34.410001,28.809999,33.240002,3.01,40.349998,23.710001,16.34,42.970001,10.76,22.82,41.599998,29.32,46.34,7.43,29.32,45.580002,37.490002,47.34,21.360001,19.73,33.43,17.040001,67.019996,8.55,47.299999,74.43,13.6,17.469999,42.23,23.49,24.370001,7.49,33.09,20.57,25.17,32.759998,12.97
2014-03-27,76.400002,18.5,18,51.380001,7.53,35.64,27.860001,32.540001,3.01,40.439999,25.670001,16.5,41.169998,11.35,23.040001,41.82,28.65,46.34,6.6,29.32,48.040001,37.310001,47.73,20.76,21.36,33.130001,17.17,65.400001,8.74,47.560001,72.169998,13.75,17.610001,41.84,23.82,24.43,7.35,32.720001,20.209999,24.91,32.970001,12.97
2014-03-28,75.18,18.9,18.980001,51.669998,7.27,36.860001,27.690001,32.400002,2.93,40.77,25.310001,16.49,40.369999,10.44,23.42,41.889999,28.48,46.830002,5.48,29.32,47.549999,37.470001,46.669998,20.49,21.81,32.23,16.9,63.840003,8.57,47.580002,70.910004,13.85,17.549999,41.23,24.1,24.6,7.23,32.639999,20.66,25.110001,32.580002,12.85
2014-03-31,74.459999,16.34,17.82,51.5,7.4,34.650001,27.85,32.41,2.83,40.66,23.550001,15.59,39.490002,10.93,22.709999,39.59,28.540001,47.389999,5.79,29.32,45.32,37.150002,45.77,20.190001,19.88,31.74,16.110001,59.909998,8.65,45.869999,71.099998,13.89,17.6,41.240002,23.610001,24.57,7.01,32.549999,20.440001,25.389999,31.92,12.73
2014-04-01,74.160004,16.040001,16.980001,51.5,7.38,35.020002,29.459999,33.759998,2.67,40.560001,21.890001,15.01,38.189999,11.24,22.440001,38.040001,29.719999,47.77,6.44,29.32,43.25,38.02,44.509998,19.74,19.5,31.219999,15.71,55.98,8.59,44.689999,70.220001,13.91,17.74,40.25,23.690001,24.700001,6.5,33.259998,20.34,25.58,31.469999,12.61
2014-04-02,70.639999,16.190001,17.060001,51.5,7.6,37.500001,29.469999,33.799999,2.64,41.240002,23.220001,14.82,37.82,11.24,22.440001,37.59,29.74,46.950001,6,29.32,44.919998,37.52,44.549999,19.629999,22.479999,30.99,15.57,56.720002,8.37,44.299999,69.120003,14,17.66,40.130001,24.32,25,6.53,33.279999,20.940001,25.75,31,12.57
2014-04-03,72.300003,16.879999,17.97,52.720001,7.73,36.629999,28.620001,33.18,2.61,41.240002,24.280001,15.24,38.34,11.24,22.440001,38.689999,29.190001,46.950001,6.37,29.32,46.48,38.02,44.810001,19.799999,20.85,31.1,15.75,56.490003,8.53,45.200001,69.580002,14.07,17.41,40.299999,24.07,24.549999,6.45,32.959999,20.549999,25.610001,30.950001,12.65
2014-04-04,70.760002,16.73,19.4,52.720001,7.73,37.520002,28.049999,32.669998,2.65,40.279999,24.190001,16.290001,38.59,11.25,22.940001,41.43,28.709999,46.950001,5.92,29.32,46.189999,37.299999,46.59,19.91,21.95,31.42,16.43,58.919996,8.58,47.240002,69.269997,14.55,17.309999,40.619999,24.26,24.17,6.69,32.689999,20.809999,25.35,31.610001,12.81
2014-04-07,66.870003,17.780001,19.15,52.720001,7.78,37.570002,28.4,32.950001,2.77,40.279999,24.960001,17.040001,38.119999,11.27,23.639999,43.25,28.969999,46.950001,6.13,29.32,47.279999,37.130001,47.959999,19.709999,20.46,31.91,17.309999,61.619996,8.51,48.709999,71.410004,14.18,17.5,41.060001,24.26,23.719999,6.87,32.91,20.98,25.15,32.599998,13
2014-04-08,67.300003,17.299999,19.32,51.16,7.69,40.279999,26.879999,31.889999,2.7,39.889999,25.950001,16.65,36.830002,11.99,23.799999,42.25,27.969999,46.950001,6.26,29.32,48.470001,37.02,46.990002,19.290001,22.879999,31.99,17,59.240003,8.69,47.98,74.720001,14.18,17.75,40.98,24.879999,23.93,6.58,32.259998,21.32,25.1,32.279999,12.88
2014-04-09,67.5,16.879999,17.8,53.240002,7.7,41.260001,26.040001,31.4,2.64,39.880001,26.470001,15.95,35.93,11.67,22.860001,40.490002,27.52,46.950001,6.42,29.530001,49,36.490002,46.27,18.99,23.499999,30.719999,16.51,56.220002,8.61,46.610001,72.690002,14.25,19.25,40.41,25.07,24.17,6.34,32.02,21.57,25.27,31.33,12.7
2014-04-10,68.230003,17.620001,19.82,53.23,7.71,38.870002,26.200001,31.49,2.86,38.919998,27.640001,17.299999,37.080002,11.33,23.49,43.869999,27.57,46.950001,6.01,29.530001,50.470001,36.490002,48.169998,19.379999,21.94,32.389999,17.52,63.050001,8.57,49.27,76.57,14.95,19.58,41.330002,24.57,23.389999,6.98,32.02,21.129999,24.9,32.599998,12.99
2014-04-11,66.860001,17.1,20.84,53.009998,7.66,37.150001,26.32,31.5,2.94,38.799999,27.420001,17.99,37.07,11.43,24.51,45.77,27.6,47.509998,6.25,29.780001,50.290001,36.360001,49.41,19.360001,20.29,32.889999,18.219999,67.000001,8.39,50.639999,77.410004,14.75,21.200001,41.66,24.219999,23.23,7.37,32.049999,20.870001,24.58,33.32,13.18
2014-04-14,67.339996,18.799999,20.94,53.380001,7.81,38.44,25.85,31.15,2.94,39.369999,26.450001,17.860001,37.25,11.95,25.139999,45.360001,27.209999,47.849998,6.71,29.4,49.040001,36.5,49.41,19.440001,21.05,32.5,17.969999,65.989997,8.59,50.34,75.099998,14.59,21.700001,41.360001,24.52,22.459999,7.31,31.9,21.26,24.68,32.860001,13.1
2014-04-15,71.040001,20.290001,20.5,53.200001,7.66,36.19,25.92,31.129999,2.96,39.459999,26.550001,17.65,38.959999,11.95,24.41,44.82,27.200001,48.060001,7.4,29.4,49.27,36.5,48.799999,20.040001,18.55,32.799999,17.639999,64.470002,8.77,49.959999,75.360001,14.28,18.41,41.73,24.02,21.77,7.14,31.85,20.6,24.76,32.57,13.02
2014-04-16,68.900002,18.91,19.55,53.43,7.66,35.210001,25.639999,30.959999,2.65,39.720001,25.930001,17.09,37.439999,11.56,23.959999,43.41,27.040001,48.060001,7.34,29.469999,48.509998,36.310001,47.759998,19.530001,18.39,31.620001,17.030001,59.850001,8.71,48.84,72.040001,14.42,18.5,40.689999,23.799999,22.690001,6.69,31.799999,20.700001,24.92,31.620001,12.86
2014-04-17,66.330002,15.51,19.55,53.43,7.73,34.060001,25.25,30.6,2.66,40.5,29.140001,16.83,36.419998,11.56,23.940001,42.75,26.83,48.169998,6.65,29.469999,52.25,36.299999,47.759998,19.200001,16.9,31.059999,16.91,58.159998,8.71,48.360001,72.029999,14.48,18.24,40.279999,23.57,23.43,6.5,31.74,20.690001,25.030001,31.43,12.9
2014-04-21,66.760002,17.16,18.75,53.43,7.73,33.779999,25.309999,30.690001,2.57,40.259998,28.630001,16.57,37.07,11.4,23.32,42.099998,26.83,47.540001,7,29.34,51.779999,36.599998,47.759998,19.379999,17.32,30.98,16.780001,55.909998,8.43,47.93,72.099998,14.38,18.07,40.189999,23.51,23.34,6.32,31.709999,20.17,25.1,31.360001,12.82
2014-04-22,67.260002,17.5,17.47,53.860001,7.88,35.210001,26.67,31.84,2.54,40.450001,29.550001,16.049999,37.419998,11.43,22.700001,40.700001,27.620001,47.84,6.83,29.34,52.66,36.720001,46.43,19.49,18.7,30.6,16.4,55.600001,8.53,46.900002,72.790001,14.38,18.23,39.84,23.790001,23.389999,6.27,32.209999,20.610001,25.290001,31.139999,12.69
2014-04-23,67.43,17.549999,18.060001,53.950001,7.7,37.270002,26.879999,31.99,2.54,40.139999,29.300001,16.35,38.169998,11.4,22.959999,41.529999,27.73,47.84,6.85,29.34,52.540001,36.720001,46.400002,19.790001,20.38,30.790001,16.459999,56.140003,8.72,47.529999,72.540001,14.13,18.209999,39.950001,24.27,22.950001,6.31,32.25,20.889999,25.23,31.049999,12.81
